3/25 6:44:52|RecordingHttpListener|onStartRequest|method called with request Name = http://192.168.1.86:19001/nsecom/
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/, requestOrResponce = snapShot
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/, requestOrResponce = snapShot
3/25 6:44:52|RecordingHttpListener|onDataAvailable|method called for request=http://192.168.1.86:19001/nsecom/
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Adding dump diretory with path=C:\Users\Compass-91\Desktop\recorder\scripts\NetDiagnostic/Weblogic/nsecom_new\dump\us_cart\192.168.1.86_19001/nsecom/
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Calling onDataAvailable on original listener.
3/25 6:44:52|RecordingHttpListener|onDataAvailable|method called for request=http://192.168.1.86:19001/nsecom/
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Adding dump diretory with path=C:\Users\Compass-91\Desktop\recorder\scripts\NetDiagnostic/Weblogic/nsecom_new\dump\us_cart\192.168.1.86_19001/nsecom/
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Calling onDataAvailable on original listener.
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364217292236
3/25 6:44:52|Utils|convertToSecond method called|time = 265.0
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|Splitting for Ajax Header = false
3/25 6:44:52|Utils|isSplit|Splitting for method GET = false
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|Splitting for time 0.031 = false
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplitForURLType|value = false
3/25 6:44:52|Utils|isSplitForURLType|value = false
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = request
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|RecordingHttpListener|onStopRequest|method called for request=http://192.168.1.86:19001/nsecom/
3/25 6:44:52|RecordingHttpListener|onStopRequest|method called for request=http://192.168.1.86:19001/nsecom/
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = response
3/25 6:44:52|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364217292267
3/25 6:44:52|Utils|convertToSecond method called|time = 296.0
3/25 6:44:52|Utils|isSplit|Method called.
3/25 6:44:52|Utils|isSplit|Splitting for Ajax Header = false
3/25 6:44:52|Utils|isSplit|Splitting for method GET = false
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:52|Utils|isSplit|Splitting for time 0.031 = false
3/25 6:44:52|Utils|isSplit|result = false
3/25 6:44:52|Utils|isSplitForURLType|Method called.
3/25 6:44:52|Utils|isSplitForURLType|value = false
3/25 6:44:52|Utils|isSplitForURLType|value = false
3/25 6:44:52|Utils|isSplitForURLType|value = false
3/25 6:44:52|Utils|isSplit|isSplitForURLType = false
3/25 6:44:52|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364217292267
3/25 6:44:52|Utils|convertToSecond method called|time = 296.0
3/25 6:44:52|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364217292267
3/25 6:44:52|Utils|convertToSecond method called|time = 296.0
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|RecordingHttpListener|observe|Method Called for sTopic=http-on-examine-response
3/25 6:44:52|RecordingHttpListener|onStartRequest|method called with request Name = http://192.168.1.86:19001/nsecom/images/logo.png
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/images/logo.png, requestOrResponce = snapShot
3/25 6:44:52|RecordingHttpListener|onDataAvailable|method called for request=http://192.168.1.86:19001/nsecom/images/logo.png
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Adding dump diretory with path=C:\Users\Compass-91\Desktop\recorder\scripts\NetDiagnostic/Weblogic/nsecom_new\dump\us_cart\192.168.1.86_19001/nsecom/images/
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Calling onDataAvailable on original listener.
3/25 6:44:52|RecordingHttpListener|onDataAvailable|method called for request=http://192.168.1.86:19001/nsecom/images/logo.png
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Adding dump diretory with path=C:\Users\Compass-91\Desktop\recorder\scripts\NetDiagnostic/Weblogic/nsecom_new\dump\us_cart\192.168.1.86_19001/nsecom/images/
3/25 6:44:52|RecordingHttpListener|onDataAvailable|Calling onDataAvailable on original listener.
3/25 6:44:52|RecordingHttpListener|onStopRequest|method called for request=http://192.168.1.86:19001/nsecom/images/logo.png
3/25 6:44:52|NetStormBrowserNavigationEventListener|navigationFinished|Method Called for URL=http://192.168.1.86:19001/nsecom/3/25 6:44:52|MainFrame|updateBackForwardButtons|method Called.

3/25 6:44:52|NetStormBrowserNavigationEventListener|NavigationFinishEventRunner|constructor called for url=http://192.168.1.86:19001/nsecom/
3/25 6:44:52|NetStormBrowserNavigationEventListener|setupListeners|Method Called.
3/25 6:44:52|NetstormCEventListener|addAllHTMLElementsListeners|Method Called.
3/25 6:44:52|Utils|filterPath|path = http://192.168.1.86:19001/nsecom/
3/25 6:44:52|Utils|getFileName|path = http://192.168.1.86:19001/nsecom/
3/25 6:44:52|Utils|getFileName|filename for dump = index.html
3/25 6:44:52|Utils|saveBrowserDocument|title = C:\Users\Compass-91\Desktop\recorder\scripts\NetDiagnostic\Weblogic\nsecom_new\dump\us_cart\192.168.1.86_19001\nsecom\index.html
3/25 6:44:52|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/, requestOrResponce = snapShot
3/25 6:44:52|ScriptHTMLStart|run|Going to call init method.
3/25 6:44:52|NSBrowser|init|Method called.
3/25 6:44:52|WebCFormattor||constructor called.
3/25 6:44:52|NSBrowser|execute|Method Called.
3/25 6:44:52|NSBrowser|execute|DOM Core supported 
3/25 6:44:52|NSBrowser|execute|DOM XML supported 
3/25 6:44:52|NSBrowser|execute|DOM HTML supported 
3/25 6:44:52|NSBrowser|execute|DOM Views supported 
3/25 6:44:52|NSBrowser|execute|DOM StyleSheets supported 
3/25 6:44:52|NSBrowser|execute|DOM CSS supported 
3/25 6:44:52|NSBrowser|execute|DOM CSS2 supported 
3/25 6:44:52|NSBrowser|execute|DOM Events supported 
3/25 6:44:52|NSBrowser|execute|DOM UIEvents supported 
3/25 6:44:52|NSBrowser|execute|DOM MouseEvents supported 
3/25 6:44:52|NSBrowser|execute|DOM MutationEvents not supported 
3/25 6:44:52|NSBrowser|execute|DOM HTMLEvents supported 
3/25 6:44:52|NSBrowser|execute|DOM Traversal not supported 
3/25 6:44:52|NSBrowser|execute|DOM Range supported 
3/25 6:44:52|ScriptHTMLStart|Recording|Thread state =2
3/25 6:44:52|ScriptHTMLStart|run|Setting thread state.State of Thread - 2
3/25 6:44:57|NetstormCEventListener|handleEvent|Method Called.
3/25 6:44:57|NetstormCEventListener|dumpEvent|Method Called. Event Type: click
 Tag Name = A
3/25 6:44:57|NetstormCEventListener|dumpLinkElement|Method Called.
3/25 6:44:57|Utils|setRecordingComments|method called.
3/25 6:44:57|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:57|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/jsp/HomePage.jsp, requestOrResponce = request
3/25 6:44:57|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1364217297103
3/25 6:44:57|Utils|convertToSecond method called|time = 5132.0
3/25 6:44:57|Utils|isSplit|Method called.
3/25 6:44:57|Utils|isSplit|Splitting for Ajax Header = false
3/25 6:44:57|Utils|isSplit|Splitting for method GET = false
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:57|Utils|isSplit|Splitting for time 4.835999999999999 = false
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForURLType|Method called.
3/25 6:44:57|Utils|isSplitForURLType|value = false
3/25 6:44:57|Utils|isSplitForURLType|value = false
3/25 6:44:57|Utils|isSplit|isSplitForURLType = false
3/25 6:44:57|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:57|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/jsp/HomePage.jsp, requestOrResponce = request
3/25 6:44:57|Utils|isSplit|Method called.
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForURLType|Method called.
3/25 6:44:57|Utils|isSplit|isSplitForURLType = false
3/25 6:44:57|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:57|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/jsp/HomePage.jsp, requestOrResponce = request
3/25 6:44:57|Utils|isSplit|Method called.
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForURLType|Method called.
3/25 6:44:57|Utils|isSplit|isSplitForURLType = false
3/25 6:44:57|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
3/25 6:44:57|Utils|getURLTracker|urlString = http://192.168.1.86:19001/nsecom/jsp/HomePage.jsp, requestOrResponce = request
3/25 6:44:57|Utils|isSplit|Method called.
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForTimeDiff|Method called.
3/25 6:44:57|Utils|isSplit|result = false
3/25 6:44:57|Utils|isSplitForURLType|Method called.
3/25 6:44:57|Utils|isSplit|isSplitForURLType = false
3/25 6:44:57|RecordingHttpListener|observe|Method Called for sTopic=http-on-modify-request
